育ち盛り	そだちざかり	growth period (in children)	adjective|noun|taking の	
胃カメラ	いカメラ	endoscope, gastrocamera	noun	
脂っこい	あぶらっこい	greasy, fatty, oily	adjective|kana|い adjective	
脱脂粉乳	だっしふんにゅう	powdered skim milk, skimmed milk powder, non-fat dry milk	noun	
腰掛ける	こしかける	to sit (down)	intransitive verb|n2|transitive verb	
腹式呼吸	ふくしきこきゅう	diaphragmatic breathing, abdominal breathing	noun	
膨らます	ふくらます	to swell, to expand, to inflate, to bulge	godan verb|n2|transitive verb	
臥児狼徳	グリーンランド	Greenland	kana|noun	
臨機応変	りんきおうへん	adapting oneself to the requirements of the moment, playing by ear, ad hoc approach	adjective|noun|taking の|な adjective	
自ずから	おのずから	naturally, in due course, by itself, of its own accord	adverb|kana|n1	
自分勝手	じぶんかって	selfishness, egotism, egoism, (being) self-centered, without consulting, (doing) as one pleases, ones own free will	adjective|noun|な adjective	
自分自身	じぶんじしん	oneself, myself	noun|pronoun	
自動制御	じどうせいぎょ	automatic control	adjective|noun|taking する|taking の|transitive verb	
自問自答	じもんじとう	answering ones own question, wondering to oneself, soliloquizing, soliloquising	noun|taking する	
自家用車	じかようしゃ	private car, private automobile	noun	
自己嫌悪	じこけんお	self-hatred, self-abhorrence, self-loathing	adjective|noun|taking の	
自己批判	じこひはん	self-criticism	adjective|noun|taking する|taking の|transitive verb	
自己管理	じこかんり	taking care of something by oneself, self-management	noun|taking する	
自己紹介	じこしょうかい	self-introduction	intransitive verb|noun|taking する|transitive verb	
自己資本	じこしほん	net worth, owned capital	noun	
自己顕示	じこけんじ	making oneself conspicuous, pressing ones own cause	noun	
自律神経	じりつしんけい	autonomic nerves	adjective|noun|taking の	
自惚れる	うぬぼれる	to be conceited	intransitive verb|kana|transitive verb	
自暴自棄	じぼうじき	desperation, despair, self-abandonment	adjective|noun|taking の|な adjective	
自業自得	じごうじとく	paying for ones mistakes, getting ones just deserts, suffering the consequences (of ones own actions), reap what you sow	adjective|expression|noun|taking の|な adjective	
自然休会	しぜんきゅうかい	spontaneous recess (in the Diet)	noun	
自然公園	しぜんこうえん	nature park, natural park	noun	
自然増収	しぜんぞうしゅう	natural or automatic increase in revenue	noun	
自然淘汰	しぜんとうた	natural selection	noun|taking する	
自然環境	しぜんかんきょう	natural environment, (the) environment	noun	
自然科学	しぜんかがく	natural science	adjective|n2|noun|taking の	
自由主義	じゆうしゅぎ	liberalism	adjective|noun|taking の	
自由経済	じゆうけいざい	free economy	noun	
自由自在	じゆうじざい	free, unrestricted, (with) complete mastery, completely in control	adjective|な adjective	
自画自賛	じがじさん	singing ones own praises, praising ones own wares	noun|taking する|transitive verb	
自給自足	じきゅうじそく	self-sufficiency	noun|taking する|transitive verb	
至上命令	しじょうめいれい	unconditional command, must-obey order	noun	
興味津々	きょうみしんしん	very interesting, of absorbing interest, having a keen interest (in), being immensely curious (about)	adjective|noun|taking と|taking の	
興味深い	きょうみぶかい	very interesting, of great interest	adjective|い adjective	
舌足らず	したたらず	lisping, poorly expressed, unclear (wording), imprecise (expression), inadequate (explanation)	adjective|noun|taking の|な adjective	
舞い戻る	まいもどる	to come back	godan verb|intransitive verb|transitive verb	
舞い込む	まいこむ	to come fluttering in (e.g. leaves, snow, flowers, etc.), to come dancing in, to drop in unexpectedly, to happen unexpectedly	godan verb|intransitive verb|transitive verb	
舞台監督	ぶたいかんとく	stage director	noun	
舞台装置	ぶたいそうち	stage setting	noun	
航空会社	こうくうがいしゃ	airline company	noun	
航空母艦	こうくうぼかん	aircraft carrier	noun	
航続距離	こうぞくきょり	cruising range, flying range	noun	
船着き場	ふなつきば	harbour, harbor, landing place, wharf, anchorage	noun	
良し悪し	よしあし	right or wrong, good or bad, quality, suitability, having both merits and demerits, having both advantages and disadvantages	n1|noun	
色っぽい	いろっぽい	amorous, sexy, voluptuous, erotic	adjective|い adjective	
芝居小屋	しばいごや	playhouse, theatre, theater	noun	
花火大会	はなびたいかい	display of fireworks, firework(s) display	noun	
花鳥風月	かちょうふうげつ	beauties of nature, the traditional themes of natural beauty in Japanese aesthetics, artistic pursuits involving nature themes	noun	
芽生える	めばえる	to bud, to sprout, to arise, to begin to grow	intransitive verb|transitive verb	
若々しい	わかわかしい	youthful, young, young-looking	adjective|n2|い adjective	
若しくは	もしくは	or, otherwise	conjunction|kana|n1	
苦々しい	にがにがしい	unpleasant, disgusting, loathsome, shameful, scandalous	adjective|い adjective	
苦しめる	くるしめる	to torment, to pain, to inflict (physical) pain, to hurt, to harass, to cause (emotional) pain, to afflict, to distress, to bother, to trouble, to stump, to baffle	n1|transitive verb	
苦り切る	にがりきる	to look sour (disgusted)	godan verb|intransitive verb|transitive verb	
苦肉の策	くにくのさく	last resort, desperate measure taken under the pressure of necessity	expression|noun	
英国航空	えいこくこうくう	British Airways	noun	
草臥れる	くたびれる	to get tired, to become exhausted, to grow weary, to become worn out, to become battered (from long use), to get tired of (doing), to get fed up with	auxiliary verb|intransitive verb|kana|n2|transitive verb	
荒々しい	あらあらしい	rough, wild, rude, harsh, gruff, violent	adjective|い adjective	
荒っぽい	あらっぽい	wild, violent, rough-mannered, rude, rough (e.g. work), crude, coarse, careless	adjective|n1|い adjective	
荒らげる	あららげる	to roughen (e.g. ones attitude), to raise (ones voice)	transitive verb	
荒れ模様	あれもよう	stormy, threatening	adjective|noun|taking の|な adjective	
荒唐無稽	こうとうむけい	absurd, nonsensical, preposterous	adjective|noun|な adjective	
菓子パン	かしパン	baked sweet goods (e.g. Danish pastry, melon bread), sweet pastry, sweet bread	noun	
華々しい	はなばなしい	brilliant, splendid, glorious, magnificent, spectacular	adjective|n1|い adjective	
落ち合う	おちあう	to meet, to meet up, to rendezvous, to get together, to join (of roads, rivers, etc.), to flow together	godan verb|intransitive verb|transitive verb	
落ち着き	おちつき	calmness, composure, presence of mind, stability, steadiness	n1|noun	
落ち着く	おちつく	to calm down, to compose oneself, to regain presence of mind, to relax, to calm down, to settle down, to die down, to become stable, to abate, to settle down (in a location, job, etc.), to settle in, to be settled, to be fixed, to have been reached, to harmonize with, to harmonise with, to match, to suit, to fit, to be unobtrusive, to be quiet, to be subdued	godan verb|intransitive verb|n2|transitive verb	
落ち込む	おちこむ	to feel down, to feel sad, to be depressed, to be in low spirits, to be in a slump (business, economy, etc.), to be in an unfavourable condition, to fall into (e.g. a hole)	godan verb|intransitive verb|n1|transitive verb	
落とし物	おとしもの	lost property, something dropped and left behind	n2|noun	
落とし穴	おとしあな	pitfall, trap, pit	noun	
葬り去る	ほうむりさる	to consign to oblivion	godan verb|transitive verb	
蒸しパン	むしパン	steamed bun, steamed bread	noun	
蒸し暑い	むしあつい	humid, sultry	adjective|n2|い adjective	
蒸し返す	むしかえす	to reheat, to steam over, to bring up again (a problem that has been dealt with), to take up again, to drag up, to rehash	godan verb|transitive verb	
蒸気機関	じょうききかん	steam engine	noun	
薄っぺら	うすっぺら	very thin, flimsy, cheap, shallow	adjective|noun|な adjective	
薄利多売	はくりたばい	small profits and quick returns	noun	
薄明かり	うすあかり	dim light, faint light, half-light of early morning, twilight	noun	
薬師如来	やくしにょらい	Bhaisajyaguru (buddha able to cure all ills)	noun	
藍綬褒章	らんじゅほうしょう	Medal with Blue Ribbon	noun	
虚々実々	きょきょじつじつ	full of wiles and tricks, match between persons equal in shrewdness mobilizing all the tricks each can muster, shrewdly avoiding the opponents strong points and attacking its weaknesses	adjective|noun|taking の	
血液検査	けつえきけんさ	blood test, hemanalysis	noun	
行き交う	ゆきかう	to come and go, to go back and forth	godan verb|intransitive verb|transitive verb	
行き届く	いきとどく	to be scrupulous, to be attentive, to be prudent, to be complete, to be thorough	godan verb|intransitive verb|transitive verb	
行き帰り	ゆきかえり	going and returning (e.g. work, school), both ways	noun|taking する	
行き成り	いきなり	abruptly, suddenly, all of a sudden, without warning	adjective|adverb|kana|n2|noun|taking の	
行き渡る	いきわたる	to diffuse, to spread throughout, to prevail, to become widespread, to reach everyone	godan verb|intransitive verb|transitive verb	
行き過ぎ	いきすぎ	going too far, going to extremes	noun	
行き違い	いきちがい	crossing without meeting (e.g. letters in the post, people on the road), going astray, difference of opinion, misunderstanding, estrangement, disagreement	n1|noun	
行けない	いけない	bad, wrong, naughty, must not (do, be), should not, ought not to, useless, no good, bad, hopeless, beyond hope, unfortunate, a shame, a pity, unable to drink (alcohol), so as not to ..., so that ... (wont), in case ..., for fear that ..., lest ...	adjective|expression|kana|n3|い adjective	
行政処分	ぎょうせいしょぶん	administrative measures (disposition)	noun	
行政書士	ぎょうせいしょし	administrative scrivener, notary public, paralegal qualified to prepare legal documents on administrative matters, e.g. immigration	noun	
行政機関	ぎょうせいきかん	administrative organ, administrative body, governmental body	noun	
行政訴訟	ぎょうせいそしょう	administrative litigation (action)	noun	
行方不明	ゆくえふめい	missing (of a person), lost, unaccounted for, whereabouts unknown	adjective|noun|taking の	
街づくり	まちづくり	town planning, urban development, community development, creating a community	kana|noun	
街頭募金	がいとうぼきん	streetside fundraising	noun	
表立って	おもてだって	publicly, openly, ostensibly, formally	expression	
被保険者	ひほけんしゃ	insured person	noun	
被選挙権	ひせんきょけん	eligibility for election	noun	
裏付ける	うらづける	to support (a theory, claim, etc.), to back up, to substantiate, to prove	transitive verb	
裏切り者	うらぎりもの	betrayer, traitor, turncoat, informer	noun	
補正予算	ほせいよさん	revised budget, supplementary budget	noun	
西ドイツ	にしドイツ	West Germany (1949-1990), Federal Republic of Germany	noun	
西比利亜	シベリア	Siberia, cake made with layers of sweet bean paste and sponge cake	kana|noun	
西高東低	せいこうとうてい	high barometric pressure to the west, low pressure to the east	noun	
要するに	ようするに	in short, in a word, to sum up, to put it simply, to make a long story short, after all	adverb|expression|n3	
見え隠れ	みえかくれ	appearing and disappearing, slipping in and out of view	intransitive verb|noun|taking する|transitive verb	
見かける	みかける	to (happen to) see, to notice, to catch sight of	n1|transitive verb	
見す見す	みすみす	before ones own eyes, from under ones very nose, without doing anything, without resistance, helplessly, negligently, knowingly	adverb|kana	
見せしめ	みせしめ	(making a) lesson (of), (setting an) example, warning	noun	
見せ掛け	みせかけ	seeming, pose, show, pretense, sham, mock	adjective|noun|taking の	
見つかる	みつかる	to be found, to be discovered	godan verb|intransitive verb|n4|transitive verb	
見つける	みつける	to discover, to find (e.g. an error in a book), to come across, to detect, to spot, to locate, to find (e.g. something missing), to find fault, to be used to seeing, to be familiar with	n4|transitive verb	
見つめる	みつめる	to stare (at), to gaze (at), to look hard (at), to watch intently, to fix ones eyes (on)	transitive verb	
見とれる	みとれる	to be fascinated (by), to be captivated by, to be enchanted by, to gaze admiringly at, to watch in fascination	intransitive verb|transitive verb	
見どころ	みどころ	point worthy of note, good point, part worth seeing, highlight, good scene, (signs of) promise, good prospects (for the future)	noun	
見る見る	みるみる	very fast, in a twinkle, before ones eyes	adverb|kana	
見上げる	みあげる	to look up at, to raise ones eyes, to look up to, to admire, to respect	transitive verb	
見下ろす	みおろす	to overlook, to command a view of, to look down on, to despise, to look down on	godan verb|n2|transitive verb	
見出し語	みだしご	headword (in a dictionary), entry word	noun	
見分ける	みわける	to distinguish, to recognize, to recognise, to tell apart, to differentiate	transitive verb	
見取り図	みとりず	rough sketch, floor plan, blueprint	noun	
見受ける	みうける	to catch sight of, to see, to suppose, to assume from appearances	transitive verb	
見定める	みさだめる	to make sure of, to ascertain, to confirm, to grasp	transitive verb	
見届ける	みとどける	to make sure of, to assure oneself of, to see with ones own eyes, to ascertain	transitive verb	
見当たる	みあたる	to be found	godan verb	
見当違い	けんとうちがい	wrong (guess or estimate), misdirected, irrelevant, off the point	adjective|noun|な adjective	
見慣れる	みなれる	to become used to seeing, to be familiar with	intransitive verb|n2|transitive verb	
見捨てる	みすてる	to abandon, to fail, to desert, to forsake	transitive verb	
見据える	みすえる	to stare fixedly at, to fix ones gaze on, to make sure of, to set ones eyes on (e.g. the future), to focus on	transitive verb	
見損なう	みそこなう	to misjudge, to mistake, to misread, to misjudge (someone), to overestimate, to miss seeing, to overlook, to fail to notice	godan verb|transitive verb	
見晴らし	みはらし	view, prospect, outlook, viewing platform, overlook	n1|noun	
見晴らす	みはらす	to command a view, to look out over (onto, across, etc.), to overlook	godan verb|transitive verb	
見極める	みきわめる	to ascertain, to make sure of, to determine, to probe, to get to the bottom (of something)	transitive verb	
見比べる	みくらべる	to compare with the eye	transitive verb	
見知らぬ	みしらぬ	strange, unfamiliar, unknown	adjective|noun|pre-noun adjectival	
見積もり	みつもり	estimate, estimation, valuation, quotation	n1|noun	
見積もる	みつもる	to estimate	godan verb|transitive verb	
見立てる	みたてる	to (see and) choose, to select, to diagnose (as), to judge, to estimate, to liken (to), to compare (to), to imagine (something) as, to treat as	transitive verb	
見苦しい	みぐるしい	unsightly, ugly, unseemly, indecent, deplorable, disgraceful, shameful	adjective|n1|い adjective	
見落とす	みおとす	to overlook, to fail to notice, to miss (seeing)	godan verb|n1|transitive verb	
見計らう	みはからう	to choose at ones own discretion, to choose when to do something, to estimate (the time for something)	godan verb|transitive verb	
見透かす	みすかす	to see through (a lie, scheme, etc.), to see into (someones mind), to read (someones true feelings), to penetrate	godan verb|transitive verb	
見過ごす	みすごす	to let go by, to let pass, to overlook, to miss	godan verb|transitive verb	
見違える	みちがえる	to hardly recognise, to mistake for something or someone else	transitive verb	
親代わり	おやがわり	(one acting as a) foster parent	noun	
解決方法	かいけつほうほう	way of solving (a problem), solution	noun	
触れ合い	ふれあい	contact, connectedness, rapport, mutual touching	adjective|kana|noun	
触れ合う	ふれあう	to come into contact with, to touch (each other), to have a brush with	godan verb|intransitive verb|transitive verb	
触れ込み	ふれこみ	(exaggerated) professing to be, passing oneself off as	noun	
言いなり	いいなり	doing as one is told, yes-man	noun	
言い争い	いいあらそい	a quarrel, argument	noun	
言い伝え	いいつたえ	tradition, legend	noun	
言い出す	いいだす	to begin to say, to start talking, to broach (a matter), to bring up, to come out with, to be the first to say, to suggest (doing), to propose	godan verb|n2|transitive verb	
言い切る	いいきる	to declare, to assert, to state definitively, to finish saying, to say it all, to finish ones sentence	godan verb|transitive verb	
言い合う	いいあう	to say to each other, to exchange (jokes, comments, etc.), to quarrel, to dispute	godan verb|intransitive verb|transitive verb	
言い回し	いいまわし	expression, phraseology	noun	
言い張る	いいはる	to insist, to assert, to be obstinate in saying	godan verb|transitive verb	
言い換え	いいかえ	putting in other words	noun|taking する	
言い残す	いいのこす	to leave word with (a person), to state in ones will, to leave (something) unsaid, to forget to mention	godan verb|transitive verb	
言い渡し	いいわたし	sentence, judgment, judgement, pronouncement, order, command	noun	
言い渡す	いいわたす	to announce, to tell, to sentence, to order	godan verb|transitive verb	
言い表す	いいあらわす	to express (in words), to confess	godan verb|transitive verb	
言い返す	いいかえす	to talk back, to answer back, to retort, to reply, to respond, to say over, to repeat (what one has said)	godan verb|transitive verb	
言い逃れ	いいのがれ	evasion, excuse, subterfuge, runaround	noun	
言葉遣い	ことばづかい	speech, expression, wording, language	n2|noun|taking する	
言語道断	ごんごどうだん	outrageous, preposterous, scandalous, inexcusable, absurd, execrable	adjective|noun|taking の|な adjective	
言語障害	げんごしょうがい	speech impediment, speech disorder	adjective|noun|taking の	
討ち入り	うちいり	raid	noun	
記者会見	きしゃかいけん	press conference, news conference	intransitive verb|noun|taking する|transitive verb	
設定可能	せっていかのう	configurable	adjective|noun|な adjective	
訳がない	わけがない	there is no way that ..., easy, simple	adjective|expression|kana|い adjective	
試行錯誤	しこうさくご	trial and error	noun|taking する|transitive verb	
詰め寄る	つめよる	to draw near, to draw closer, to press (e.g. for an answer), to hound	godan verb|intransitive verb|transitive verb	
詰め込む	つめこむ	to cram, to stuff, to jam, to squeeze, to pack, to crowd	godan verb|transitive verb	
詰らない	つまらない	dull, uninteresting, boring, tedious, insignificant, unimportant, trifling, trivial, worthless, absurd, foolish, silly, stupid, useless, pointless, disappointing	adjective|kana|n5|い adjective	
話し合い	はなしあい	discussion, talk, tête-à-tête, conference	n2|noun|taking する	
話し合う	はなしあう	to discuss, to talk together	godan verb|n3|transitive verb	
話し相手	はなしあいて	person with whom to speak, someone to talk to, companion, advisor, adviser	noun	
話し言葉	はなしことば	spoken language, colloquial expression	noun	
話し込む	はなしこむ	to be deep in talk	godan verb|transitive verb	
誇らしい	ほこらしい	proud, haughty, arrogant	adjective|い adjective	
誘い出す	さそいだす	to lure, to invite out	godan verb|transitive verb	
語り合う	かたりあう	to talk together	godan verb|transitive verb	
語り継ぐ	かたりつぐ	to pass down (a story) from generation to generation, to hand down	godan verb|transitive verb	
誤魔化す	ごまかす	to deceive, to cheat, to swindle, to falsify, to misrepresent, to lie about, to tamper with, to doctor, to cook, to evade (a question, taxes, etc.), to dodge, to gloss over (a mistake, fault, etc.), to smooth over, to get ones way out of (a difficult situation), to explain away, to embezzle, to pocket	godan verb|kana|n1|transitive verb	
読みきる	よみきる	to finish reading, to read through	godan verb|transitive verb	
読み取り	よみとり	reading (e.g. by a scanner)	noun|taking する	
読み取る	よみとる	to read and understand, to take in, to sense from external cues, to read (someones) mind, to read (calibration, tape, etc.), to scan (bar code), to read (out)	godan verb|transitive verb	
読み応え	よみごたえ	worthwhile reading, substantial reading	noun	
読み書き	よみかき	reading and writing	noun	
読み直す	よみなおす	to read (a book, etc.) over again	godan verb	
読み返す	よみかえす	to reread, to read again	godan verb|transitive verb	
誰にでも	だれにでも	anyone, anybody, everyone, whoever	conjunction|expression	
請け合う	うけあう	to undertake, to take on (task), to assure, to guarantee, to vouch (for), to promise	godan verb|transitive verb	
請け負う	うけおう	to contract, to undertake, to take over, to take responsibility for	godan verb|transitive verb	
論功行賞	ろんこうこうしょう	conferral of honors (honours), according to merits	noun	
謹賀新年	きんがしんねん	Happy New Year	expression	
警察手帳	けいさつてちょう	police identification card	noun	
議会主義	ぎかいしゅぎ	parliamentarism	noun	
議会政治	ぎかいせいじ	parliamentarism, parliamentary government	noun	
譲り渡す	ゆずりわたす	to hand over, to turn over, to cede	godan verb|transitive verb	
負けん気	まけんき	competitive spirit, spirit of rivalry	noun	
負け越し	まけこし	having more losses than wins	noun	
財団法人	ざいだんほうじん	incorporated foundation, juridical foundation	noun	
貨幣価値	かへいかち	currency value	noun	
貫き通す	つらぬきとおす	to go through, to pierce, to penetrate, to stick to (opinion, principles, etc.), to carry out, to persist with, to keep (e.g. faith), to maintain (e.g. independence)	godan verb|transitive verb	
責任転嫁	せきにんてんか	shifting the responsibility (for something) on to (someone), passing the buck	noun	
買い上げ	かいあげ	buying, purchasing, procurement	noun	
買い付け	かいつけ	buying, purchasing	noun	
買い入れ	かいいれ	buying, purchasing, laying in	noun	
買い出し	かいだし	going out to shop, going shopping, buying in quantity, buying wholesale, bulk purchasing	noun	
買い占め	かいしめ	buying up of goods, cornering (market)	noun	
買い取る	かいとる	to buy, to purchase	godan verb|transitive verb	
買い戻し	かいもどし	repurchase, redemption	noun	
買い戻す	かいもどす	to buy back, to redeem	godan verb|transitive verb	
買い控え	かいびかえ	restrained buying	noun	
買い支え	かいささえ	buying support	noun	
買い込む	かいこむ	to buy in quantity, to buy a lot (of), to stock up (on), to lay in	godan verb|transitive verb	
貸し倒れ	かしだおれ	bad debt, irrecoverable debt	noun	
貸し借り	かしかり	lending and borrowing	noun|taking する|transitive verb	
貸し出す	かしだす	to lend, to loan, to let out on hire	godan verb|transitive verb	
貸し切り	かしきり	reserving (for exclusive use), (full) booking, chartering, block reservation	adjective|noun|taking の	
賃金格差	ちんぎんかくさ	wage differential	noun	
資本主義	しほんしゅぎ	capitalism	adjective|noun|taking の	
資金繰り	しきんぐり	fundraising, financing, cash flow	noun	
資金調達	しきんちょうたつ	fundraising	adjective|noun|taking の	
賞味期限	しょうみきげん	best-before date (on food), use-by date, expiry date, expiration date	noun	
赤ちゃん	あかちゃん	baby, infant	n4|noun	
赤茶ける	あかちゃける	to turn reddish-brown, to turn rufous, to become discolored, to become discoloured	intransitive verb|transitive verb	
走り出す	はしりだす	to begin to run, to start running, to break into a run	godan verb	
走り去る	はしりさる	to run away, to run off	godan verb	
走り回る	はしりまわる	to run around	godan verb|intransitive verb|transitive verb	
走り書き	はしりがき	scribbling, scrawl, hasty writing	noun|taking する|transitive verb	
起死回生	きしかいせい	revival from the brink of death, recovering from a hopeless situation, resuscitation, revitalization	adjective|noun|taking の	
起訴猶予	きそゆうよ	suspension of indictment, leaving charge on the file	noun	
足がかり	あしがかり	foothold, footing, toehold, stepping stone	noun	
跳ね返る	はねかえる	to rebound, to recoil, to spring back up, to bounce back, to splash, to have a repercussion, to have a reciprocal effect	godan verb|intransitive verb|transitive verb	
踏まえる	ふまえる	to be based on, to take into account, to build upon, to have origin in, to have ones feet firmly planted on, to plant oneself on	n1|transitive verb	
踏み出す	ふみだす	to step forward, to step forth, to advance, to start, to embark on, to set forth on, to take steps toward	godan verb|intransitive verb|transitive verb	
踏み切る	ふみきる	to take off, to jump, to leap, to take the plunge, to decide, to embark on, to venture into, to launch out into, to step out of the ring	godan verb|transitive verb	
踏み込み	ふみこみ	dealing fully (with), going into (issue, etc.), stepping into, breaking or rushing into, alcove	noun	
踏み込む	ふみこむ	to step into (e.g. someone elses territory), to break into, to raid, to come to grips with, to get to the core of	godan verb	
踏ん張る	ふんばる	to brace ones legs, to stand firm, to plant ones feet (firmly on the ground), to hold out, to persist, to make an effort, to exert oneself	godan verb|intransitive verb|transitive verb	
蹌踉めく	よろめく	to stagger, to stumble, to totter, to misconduct oneself, to have a love affair, to waver, to feel some inclination	godan verb|intransitive verb|kana|transitive verb	
身の回り	みのまわり	ones personal belongings, ones vicinity, ones daily life, everyday necessities	adjective|expression|noun|taking の	
身代わり	みがわり	substitution (for someone else), substitute, stand-in, scapegoat, sacrifice	noun	
車間距離	しゃかんきょり	distance between two cars	noun	
軍国主義	ぐんこくしゅぎ	militarism	adjective|noun|taking の	
軍法会議	ぐんぽうかいぎ	court-martial	noun	
軽々しい	かるがるしい	rash, thoughtless, imprudent, careless, frivolous	adjective|い adjective	
軽はずみ	かるはずみ	thoughtless, rash, hasty, imprudent	adjective|noun|な adjective	
軽んじる	かろんじる	to look down on, to make light of	transitive verb	
軽機関銃	けいきかんじゅう	light machine gun	noun	
軽自動車	けいじどうしゃ	light motor vehicle (up to 660cc and 64bhp), k-car, kei car	noun	
輝かしい	かがやかしい	brilliant, glorious, glittering, bright, splendid (e.g. achievement, success), promising (e.g. future)	adjective|い adjective	
輸出超過	ゆしゅつちょうか	excess of exports	noun	
辛うじて	かろうじて	barely, narrowly, only just, with difficulty	adverb|kana|n1	
辛抱強い	しんぼうづよい	patient, persevering	adjective|い adjective	
農地改革	のうちかいかく	agrarian reform	noun	
迎え撃つ	むかえうつ	to meet (the enemy) and attack, to engage (the approaching enemy), to confront, to intercept	godan verb|transitive verb	
近づける	ちかづける	to bring near, to bring close, to let go near, to associate with, to bring (people) together, to let come near (of a person)	n2|transitive verb	
近寄せる	ちかよせる	to bring close, to bring near, to associate with (someone), to keep company with, to let come close	transitive verb	
返り咲き	かえりざき	comeback (e.g. in business), reinstatement, second blooming (in a season), reflowering, reflorescence	noun	
追いつく	おいつく	to catch up (with), to draw level, to pull even, to reach, to be compensated, to make up for ones losses	godan verb|intransitive verb|n3|transitive verb	
追い出す	おいだす	to expel, to drive out	godan verb|n1|transitive verb	
追い回す	おいまわす	to chase about, to hang on, to drive hard	godan verb|transitive verb	
追い払う	おいはらう	to drive away, to clear, to scatter, to disperse	godan verb|transitive verb	
追い抜く	おいぬく	to pass (a car), to overtake, to surpass, to outstrip, to outdistance, to outsail	godan verb|transitive verb	
追い立て	おいたて	ejection, eviction, dispossession	noun	
追い討ち	おいうち	attacking a fleeing enemy, additional blow to an already unfortunate situation, rubbing salt into a wound	noun	
追い越し	おいこし	passing, overtaking	noun	
追い越す	おいこす	to pass (e.g. car), to overtake, to surpass, to outstrip, to get ahead of, to outdistance	godan verb|n2|transitive verb	
追い込み	おいこみ	final stage, final stretch, final spurt, last spurt, final push, late charge, live printing area (in publishing), gallery (in a theatre), driving (animals, fish, etc.), herding, chasing, forcing another player to fold (so that oneself can participate in the game)	noun	
追い込む	おいこむ	to herd, to drive, to chase, to corral, to corner, to force someone into doing, to go hard, to push yourself, to make a last charge, to run on (e.g. lines in printing), to have two strikes	godan verb|n1|transitive verb	
追い返す	おいかえす	to drive away, to turn away, to send away, to repel, to repulse	godan verb|transitive verb	
追っかけ	おっかけ	chase, pursuit, chase scene (in a movie), obsessive fan who follows a celebrity around, groupie, in (quick) succession, soon (after)	adverb|noun	
送り仮名	おくりがな	kana written after a kanji to complete the full (usually kun) reading of the word, declensional kana ending	n2|noun	
送り出し	おくりだし	pushing (propelling) (ones opponent) out of the ring from behind	noun	
送り出す	おくりだす	to send out, to forward, to show (a person) out	godan verb|transitive verb	
送り込む	おくりこむ	to send in	godan verb|transitive verb	
送り迎え	おくりむかえ	seeing (or dropping) off, then later picking up or going to meet (the same person)	noun|taking する|transitive verb	
送り返す	おくりかえす	to send back	godan verb	
逃げ出す	にげだす	to run away, to flee, to make off, to take to ones heels, to escape, to start to run away	godan verb|n1	
逃げ切る	にげきる	to make good ones escape, to get away, to outrun, to hold on (and win), to win narrowly	godan verb|intransitive verb|transitive verb	
逃げ回る	にげまわる	to run around trying to escape, to run from place to place	godan verb|intransitive verb|transitive verb	
逃げ惑う	にげまどう	to run about trying to escape	godan verb|intransitive verb|transitive verb	
逃げ込む	にげこむ	to take refuge in, to succeed in running away	godan verb|intransitive verb|transitive verb	
逆上せる	のぼせる	to feel dizzy, to have blood rush to ones head, to lose ones cool, to be obsessed, to be infatuated, to become conceited	intransitive verb|kana|transitive verb	
逆転勝ち	ぎゃくてんがち	winning after defeat seems certain, coming from behind to win	noun|taking する	
透き通る	すきとおる	to be transparent, to be see-through, to be clear, to be clear (voice, sound)	godan verb|intransitive verb|n2|transitive verb	
途切れる	とぎれる	to break off, to come to an end, to be interrupted, to be cut short, to pause	intransitive verb|n1|transitive verb	
途絶える	とだえる	to stop, to cease, to come to an end, to cut off	intransitive verb|n1|transitive verb	
通じ合う	つうじあう	to be understood by each other (of thoughts, feelings, etc.), to be comprehended, to exchange with each other (thoughts, feelings, etc.), to express to each other (e.g. intentions), to communicate with each other	godan verb|intransitive verb|transitive verb	
通り相場	とおりそうば	going price, general custom	noun	
通り越す	とおりこす	to go past (a place or thing), to go beyond	godan verb|intransitive verb|transitive verb	
通信教育	つうしんきょういく	correspondence education, correspondence course, distance education	noun	
通信衛星	つうしんえいせい	communication satellite, Broadcast Satellite, BS	noun	
通信販売	つうしんはんばい	online shopping service (with delivery by mail), mail order, mail-order sales, shop-by-mail service	noun	
通行止め	つうこうどめ	closure (of a road), suspension of traffic, road closed, closed to traffic, no through road	expression|noun	
造り酒屋	つくりざかや	sake brewer, sake brewery	noun	
連れ出す	つれだす	to take (someone) out (for a walk, to lunch, etc.), to entice out, to lure away	godan verb|transitive verb	
連れ去る	つれさる	to take (someone) away, to carry off, to abduct, to kidnap	godan verb|transitive verb	
連れ添う	つれそう	to become a couple, to be man and wife, to be married to	godan verb|intransitive verb|transitive verb	
連れ立つ	つれだつ	to accompany, to go with, to go together	godan verb|intransitive verb|transitive verb	
連れ込む	つれこむ	to bring (someone into a place), to lead into	godan verb|transitive verb	
連帯保証	れんたいほしょう	joint liability on guarantee	noun	
連鎖反応	れんさはんのう	chain reaction, nuclear chain reaction	noun	
進み出る	すすみでる	to step forward, to volunteer	intransitive verb|transitive verb	
進行状況	しんこうじょうきょう	state of progress	noun	
進退伺い	しんたいうかがい	informal resignation, unofficial resignation	noun	
遅らせる	おくらせる	to delay, to postpone, to put off, to slow down, to hold up, to retard, to put back (a clock)	transitive verb	
遊び相手	あそびあいて	playmate, playfellow	noun	
